id,name,abbreviation,census_region_name
1,Alabama,AL,South
2,Alaska,AK,West
3,Arizona,AZ,West
4,Arkansas,AR,South
5,California,CA,West
6,Colorado,CO,West
7,Connecticut,CT,Northeast
8,Delaware,DE,South
9,Florida,FL,South
10,Georgia,GA,South
11,Hawaii,HI,West
12,Idaho,ID,West
13,Illinois,IL,Midwest
14,Indiana,IN,Midwest
15,Iowa,IA,Midwest
16,Kansas,KS,Midwest
17,Kentucky,KY,South
18,Louisiana,LA,South
19,Maine,ME,Northeast
20,Maryland,MD,South
21,Massachusetts,MA,Northeast
22,Michigan,MI,Midwest
23,Minnesota,MN,Midwest
24,Mississippi,MS,South
25,Missouri,MO,Midwest
26,Montana,MT,West
27,Nebraska,NE,Midwest
28,Nevada,NV,West
29,New Hampshire,NH,Northeast
30,New Jersey,NJ,Northeast
31,New Mexico,NM,West
32,New York,NY,Northeast
33,North Carolina,NC,South
34,North Dakota,ND,Midwest
35,Ohio,OH,Midwest
36,Oklahoma,OK,South
37,Oregon,OR,West
38,Pennsylvania,PA,Northeast
39,Rhode Island,RI,Northeast
40,South Carolina,SC,South
41,South Dakota,SD,Midwest
42,Tennessee,TN,South
43,Texas,TX,South
44,Utah,UT,West
45,Vermont,VT,Northeast
46,Virginia,VA,South
47,Washington,WA,West
48,West Virginia,WV,South
49,Wisconsin,WI,Midwest
50,Wyoming,WY,West
51,Washington DC,DC,South
